Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T16:07:17, 4070.3, 4070.3, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:07:18, 4069.9, 4069.9, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:07:19, 4070.3, 4070.3, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:07:21, 4069.9, 4069.9, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:07:22, 4070.3, 4070.3, 4070.3, 4070.3
2020-07-08, 2020-07-08T16:07:23, 4069.9, 4069.9, 4069.9, 4069.9
2020-07-08, 2020-07-08T16:07:25, None, None, None, None
2020-07-08, 2020-07-08T16:07:26, None, None, None, None
2020-07-08, 2020-07-08T16:07:28, 4069.6, 4069.9, 4069.6, 4069.9
2020-07-08, 2020-07-08T16:07:30, None, None, None, None
2020-07-08, 2020-07-08T16:07:31, 4069.6, 4070.3, 4069.6, 4070.3
2020-07-08, 2020-07-08T16:07:32, 4069.9, 4070.3, 4069.9, 4070.3
2020-07-08, 2020-07-08T16:07:34, 4070.6, 4071.3, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:07:35, 4071.3, 4071.3, 4071.3, 4071.3
2020-07-08, 2020-07-08T16:07:36, 4070.9, 4070.9, 4070.6, 4070.6
2020-07-08, 2020-07-08T16:07:37, 4070.9, 4070.9, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:07:39, None, None, None, None
2020-07-08, 2020-07-08T16:07:43, 4070.8, 4070.8, 4070.4, 4070.6
2020-07-08, 2020-07-08T16:07:44, 4070.4, 4070.9, 4070.4, 4070.9
2020-07-08, 2020-07-08T16:07:45, 4070.6, 4070.6, 4070.4, 4070.6
2020-07-08, 2020-07-08T16:07:46, 4070.9, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:07:47, 4071.3, 4071.3, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:07:48, None, None, None, None
2020-07-08, 2020-07-08T16:07:50, 4070.6, 4070.6, 4070.6, 4070.6
2020-07-08, 2020-07-08T16:07:51, 4070.9, 4070.9, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:07:55, 4070.6, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:07:56, 4070.6, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:07:57, None, None, None, None
2020-07-08, 2020-07-08T16:07:59, 4070.6, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:08:00, 4070.6, 4070.6, 4070.6, 4070.6
2020-07-08, 2020-07-08T16:08:02, 4070.9, 4070.9, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:08:03, 4070.6, 4070.6, 4070.3, 4070.6
2020-07-08, 2020-07-08T16:08:04, 4070.3, 4070.9, 4070.3, 4070.9
2020-07-08, 2020-07-08T16:08:05, None, None, None, None
2020-07-08, 2020-07-08T16:08:06, 4070.6, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:08:07, None, None, None, None
2020-07-08, 2020-07-08T16:08:08, 4070.6, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:08:10, 4071.3, 4071.3, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:08:11, None, None, None, None
2020-07-08, 2020-07-08T16:08:12, 4071.3, 4071.3, 4070.9, 4071.3
2020-07-08, 2020-07-08T16:08:13, None, None, None, None
2020-07-08, 2020-07-08T16:08:14, 4071.6, 4071.6, 4071.6, 4071.6
2020-07-08, 2020-07-08T16:08:15, 4071.4, 4071.6, 4071.3, 4071.3
2020-07-08, 2020-07-08T16:08:17, 4071.4, 4071.6, 4071.3, 4071.3
2020-07-08, 2020-07-08T16:08:21, None, None, None, None
2020-07-08, 2020-07-08T16:08:22, 4070.9, 4070.9, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:08:23, 4071.3, 4071.3, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:08:24, None, None, None, None
2020-07-08, 2020-07-08T16:08:26, 4071.3, 4071.3, 4071.3, 4071.3
2020-07-08, 2020-07-08T16:08:30, 4070.9, 4070.9, 4070.9, 4070.9
2020-07-08, 2020-07-08T16:08:33, 4070.6, 4070.9, 4070.6, 4070.9
2020-07-08, 2020-07-08T16:08:35, 4071.6, 4071.6, 4071.3, 4071.3
